time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,19,5,0,0
2026-05-26 00:00:00+00:00,17,7,0,0
2026-05-27 00:00:00+00:00,18,7,1,1
2026-05-28 00:00:00+00:00,17,7,0,0
2026-05-29 00:00:00+00:00,8,3,0,0
2026-05-30 00:00:00+00:00,21,8,0,0
2026-05-31 00:00:00+00:00,18,8,1,1
2026-06-01 00:00:00+00:00,15,6,0,0
2026-06-02 00:00:00+00:00,14,5,0,0
2026-06-03 00:00:00+00:00,14,5,1,1
2026-06-04 00:00:00+00:00,10,5,0,0
2026-06-05 00:00:00+00:00,2,2,0,0
2026-06-06 00:00:00+00:00,14,5,0,0
2026-06-07 00:00:00+00:00,8,3,0,0
