url_path,views_total,views_unique
/Inria-NERV/happyFeat,15,9
/Inria-NERV/happyFeat/tree/main/happyfeat,9,2
/Inria-NERV/happyFeat/tree/main/happyfeat/lib,6,1
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-connectivity,3,2
/Inria-NERV/happyFeat/blob/main/happyfeat/templates-connectivity/sc1-monitor-acq.xml,2,1
/Inria-NERV/happyFeat/tree/develop,2,1
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-mixed,2,1
/Inria-NERV/happyfeat,1,1
/Inria-NERV/happyFeat/actions,1,1
/Inria-NERV/happyFeat/blob/332b8beb2c62d41766e7674c68533900d5873c6d/happyfeat/templates-mixed-1-class/sc1-monitor-acq.xml,1,1
