url_path,views_total,views_unique
/Inria-NERV/happyFeat,17,9
/Inria-NERV/happyFeat/tree/main/happyfeat,13,2
/Inria-NERV/happyFeat/tree/main/happyfeat/lib,6,1
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-connectivity,4,2
/Inria-NERV/happyFeat/tree/develop,3,1
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-spectralpower,3,1
/Inria-NERV/happyFeat/releases,2,2
/Inria-NERV/happyfeat,2,1
/Inria-NERV/happyFeat/blob/main/happyfeat/templates-connectivity/sc1-monitor-acq.xml,2,1
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-mixed,2,1
