time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-28 00:00:00+00:00,3,3,1.0,1.0
2025-11-29 00:00:00+00:00,2,2,2.0,2.0
2025-11-30 00:00:00+00:00,2,2,,
2025-12-01 00:00:00+00:00,34,10,1.0,1.0
2025-12-02 00:00:00+00:00,15,4,17.0,2.0
2025-12-03 00:00:00+00:00,95,22,2.0,2.0
2025-12-04 00:00:00+00:00,7,3,2.0,1.0
2025-12-05 00:00:00+00:00,12,9,,
2025-12-06 00:00:00+00:00,14,5,1.0,1.0
2025-12-07 00:00:00+00:00,7,3,,
2025-12-08 00:00:00+00:00,15,8,1.0,1.0
2025-12-09 00:00:00+00:00,28,14,,
2025-12-10 00:00:00+00:00,3,3,,
2025-12-11 00:00:00+00:00,3,3,1.0,1.0
